school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
Sir Guy Carleton Secondary School,Public,28,-19,20,10,5,0
Sir Robert Borden High School,Public,89,3,12,5,24,1
Sir Wilfrid Laurier Secondary School,Public,83,2,7,2,30,3
South Carleton High School,Public,83,-2,6,0,5,1
West Carleton Secondary School,Public,85,-5,6,2,22,1
Woodroffe High School,Public,76,5,27,13,50,22
Applewood Heights Secondary School,Public,91,5,20,6,56,7
Bramalea Secondary School,Public,69,0,20,11,44,14
Brampton Centennial Secondary School,Public,83,6,14,6,51,4
Castlebrooke SS Secondary School,Public,86,7,12,14,69,3
Cawthra Park Secondary School,Public,87,-5,13,5,28,1
Central Peel Secondary School,Public,80,4,16,10,56,15
Chinguacousy Secondary School,Public,86,2,13,9,66,5
Clarkson Secondary School,Public,86,5,15,4,42,7
David Suzuki Secondary School,Public,76,7,13,7,51,6
Erindale Secondary School,Public,90,20,21,6,56,10
Fletcher's Meadow Secondary School,Public,81,6,11,8,55,7
Glenforest Secondary School,Public,88,-3,26,9,71,10
Harold M. Brathwaite Secondary School,Public,87,5,12,8,73,6
Heart Lake Secondary School,Public,72,-4,10,7,38,6
Humberview Secondary School,Public,85,2,6,5,21,1
Jean Augustine Secondary School,Public,83,0,12,4,64,7
John Fraser Secondary School,Public,93,1,19,1,70,16
Judith Nyman Secondary School,Public,4,3,14,10,22,1
Lincoln M. Alexander Secondary School,Public,72,14,21,19,63,13
Lorne Park Secondary School,Public,90,-5,12,3,29,1
Louise Arbour Secondary School,Public,77,-4,9,9,70,6
Mayfield Secondary School,Public,86,1,8,6,24,0
Meadowvale Secondary School,Public,79,-2,11,4,47,6
Mississauga Secondary School,Public,82,5,14,9,75,8
North Park Secondary School,Public,89,7,12,9,62,4
Port Credit Secondary School,Public,92,6,21,4,49,9
Rick Hansen Secondary School,Public,83,0,18,6,75,10
Sandalwood Heights Secondary School,Public,81,6,10,10,71,7
Stephen Lewis Secondary School,Public,87,0,22,2,78,16
Streetsville Secondary School,Public,91,-3,13,5,39,3
T. L. Kennedy Secondary School,Public,83,8,28,7,75,29
The Woodlands Secondary School,Public,93,3,19,6,63,10
Turner Fenton Secondary School,Public,84,5,14,10,58,2
West Credit Secondary School,Public,20,10,20,5,30,0
Holy Cross Catholic Secondary School,Catholic,73,4,16,4,4,1
Holy Trinity Catholic Secondary School,Catholic,78,1,5,2,3,0
St. Mary Catholic Secondary School,Catholic,76,-2,12,3,2,1
St. Peter Catholic Secondary School,Catholic,73,-9,13,3,4,3
St. Stephen Catholic Secondary School,Catholic,77,-2,8,3,3,1
St. Thomas Aquinas Catholic Secondary School,Catholic,64,-2,10,10,0,0
Chelmsford Valley District Composite School,Public,48,-6,5,0,0,0
Confederation Secondary School,Public,61,3,10,0,0,0
Espanola High School,Public,55,-18,10,10,0,0
Lasalle Secondary School,Public,69,-7,17,3,1,2
Lively District Secondary School,Public,67,-8,5,5,0,0
Lo-Ellen Park Secondary School,Public,88,3,9,1,3,1
Lockerby Composite School,Public,90,-5,11,2,3,2
Manitoulin Secondary School,Public,57,-9,10,10,0,0
Sudbury Secondary School,Public,73,-1,23,4,1,2
Atikokan High School,Public,83,7,10,0,0,0
Fort Frances High School,Public,62,0,10,9,4,0
Rainy River High School,Public,69,-8,10,10,0,0
Bishop Smith Catholic High School,Catholic,70,-15,10,5,1,0
St Joseph's High School,Catholic,83,-7,15,5,0,0
Arnprior District High School,Public,86,-1,13,3,2,0
Fellowes High School,Public,59,-13,13,4,2,1
Mackenzie Community School - Secondary School,Public,82,-2,10,5,10,0
Madawaska Valley District High School,Public,68,0,10,5,0,0
Opeongo High School,Public,67,-7,10,5,0,0
