school_name,school_type,osslt10,low_inc,no_deg,esl,imm
Bishop Smith Catholic High School,Catholic,84,10,5,1,0
St Joseph's High School,Catholic,84,10,10,0,0
Arnprior District High School,Public,87,14,3,2,0
Fellowes High School,Public,71,12,5,2,0
Mackenzie Community School - Secondary School,Public,92,10,0,10,0
Madawaska Valley District High School,Public,78,10,5,0,0
Opeongo High School,Public,89,15,0,0,0
Renfrew Collegiate Institute,Public,79,10,10,0,0
Valour JK to 12 School - Secondary School,Public,86,5,0,5,0
Banting Memorial High School,Public,82,8,5,6,1
Barrie North Collegiate Institute,Public,89,17,7,8,2
Bear Creek Secondary School,Public,84,9,2,9,1
Bradford District High School,Public,88,12,7,26,4
Collingwood Collegiate Institute,Public,87,14,6,4,1
Eastview Secondary School,Public,86,12,8,7,2
Elmvale District High School,Public,75,10,0,0,0
Georgian Bay District Secondary School,Public,82,12,5,1,1
Innisdale Secondary School,Public,85,11,5,10,1
Maple Ridge Secondary School,Public,90,10,0,10,0
Nantyr Shores Secondary School,Public,80,11,10,10,0
Nottawasaga Pines Secondary School,Public,82,8,7,5,1
Orillia Secondary School,Public,82,12,8,3,0
Stayner Collegiate Institute,Public,80,10,0,0,0
Twin Lakes Secondary School,Public,81,13,6,1,0
Holy Trinity Catholic High School,Catholic,82,12,8,16,2
Our Lady of the Bay Catholic High School,Catholic,90,10,0,5,0
Patrick Fogarty Catholic Secondary School,Catholic,83,10,8,2,0
St Dominic Catholic Secondary School,Catholic,82,10,5,5,0
St Joan of Arc High School,Catholic,85,9,3,9,2
St Joseph's Separate School,Catholic,79,15,10,7,3
St Peter's Secondary School,Catholic,74,10,6,6,1
St Theresa's Separate School,Catholic,79,12,4,1,0
St Thomas Aquinas Catholic Secondary School,Catholic,88,8,6,6,1
St Patrick's Catholic High School,Catholic,88,12,3,2,1
Ursuline College Chatham Catholic Secondary School,Catholic,87,14,9,2,0
Bishop Alexander Carter Catholic Secondary School,Catholic,67,10,5,0,0
Marymount Academy Catholic School,Catholic,92,15,5,5,5
St Benedict Catholic Secondary School,Catholic,94,10,5,10,10
St Charles College,Catholic,76,16,3,6,4
Geraldton Composite School,Public,45,20,30,0,0
Lake Superior High School,Public,79,10,10,0,0
Manitouwadge High School,Public,57,10,0,0,10
Marathon High School,Public,66,10,5,0,0
Nipigon Red Rock District High School,Public,56,10,0,0,0
A B Lucas Secondary School,Public,91,15,3,33,7
Arthur Voaden Secondary School,Public,42,30,5,0,0
Central Elgin Collegiate Institute,Public,81,13,4,4,1
Clarke Road Secondary School,Public,57,21,12,10,1
College Avenue Secondary School,Public,59,11,8,4,0
East Elgin Secondary School,Public,77,11,37,12,2
Glencoe District High School,Public,72,20,0,0,0
Glendale High School,Public,72,9,16,1,0
H B Beal Secondary School,Public,73,22,9,17,7
Huron Park Secondary School,Public,78,9,6,11,1
Ingersoll District Collegiate Institute,Public,69,9,5,2,1
London Central Secondary School,Public,96,19,6,43,4
London South Collegiate Institute,Public,87,21,7,17,4
Lord Dorchester Secondary School,Public,78,6,1,8,1
Medway High School,Public,84,9,2,10,1
Montcalm Secondary School,Public,61,34,21,30,14
North Middlesex District High School,Public,72,5,0,0,0
Oakridge Secondary School,Public,91,16,3,29,5
Parkside Collegiate Institute,Public,84,12,4,2,0
Saunders Secondary School,Public,74,17,4,21,3
Sir Frederick Banting Secondary School,Public,87,21,4,32,10
Sir Wilfrid Laurier Secondary School,Public,69,20,8,22,2
Strathroy District Collegiate Institute,Public,78,9,4,2,0
West Elgin Secondary School,Public,72,15,10,0,0
Westminster Secondary School,Public,59,30,9,63,28
Woodstock Collegiate Institute,Public,86,10,6,3,0
St Ignatius High School,Catholic,84,12,5,5,1
