"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112314","12.4.5","32","","","","0"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112315","12.4.6","33","","","","0"
"2019/2020","British Columbia","2016A000259","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112316","12.4.7","8","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112317","13.1.1","161980","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112318","13.1.2","83","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112319","13.1.3","78","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112320","13.1.4","68","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112321","13.1.5","10","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112322","13.1.6","22","","","","0"
"2019/2020","Yukon","2016A000260","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112323","13.1.7","17","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112324","13.2.1","53248","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112325","13.2.2","100","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112326","13.2.3","65","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112327","13.2.4","25","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112328","13.2.5","39","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112329","13.2.6","35","","","","0"
"2019/2020","Yukon","2016A000260","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112330","13.2.7","0","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112331","13.3.1","53248","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112332","13.3.2","100","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112333","13.3.3","65","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112334","13.3.4","25","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112335","13.3.5","39","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112336","13.3.6","35","","","","0"
"2019/2020","Yukon","2016A000260","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112337","13.3.7","0","","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112338","13.4.1","","..","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112339","13.4.2","","..","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112340","13.4.3","","..","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112341","13.4.4","","..","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112342","13.4.5","","..","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112343","13.4.6","","..","","","0"
"2019/2020","Yukon","2016A000260","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112344","13.4.7","","..","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112345","14.1.1","242269","","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112346","14.1.2","96","","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112347","14.1.3","69","","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112348","14.1.4","55","","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112349","14.1.5","14","","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112350","14.1.6","31","","","","0"
"2019/2020","Northwest Territories","2016A000261","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112351","14.1.7","4","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112352","14.2.1","58164","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112353","14.2.2","100","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112354","14.2.3","60","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112355","14.2.4","26","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112356","14.2.5","34","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112357","14.2.6","40","","","","0"
"2019/2020","Northwest Territories","2016A000261","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112358","14.2.7","0","","","","0"
"2019/2020","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112359","14.3.1","58164","","","","0"
"2019/2020","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112360","14.3.2","100","","","","0"
"2019/2020","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112361","14.3.3","60","","","","0"
"2019/2020","Northwest Territories","2016A000261","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112362","14.3.4","26","","","","0"
